title,placeId,location/lat,location/lng,categoryName,address,comfort_cozy_score,spicy_hot_score,fresh_healthy_score,cheap_budget_score,quick_fast_score
Bánh Tráng Phú Cường Cơ Sở 3,osm-node-9551695377,20.9794509,105.7856786,Nhà hàng,"102, Đường Trần Phú, Hà Đông, Hà Nội",0.0,0.0,0.0,0.0,0.0
Bánh Tráng Phú Cường Cơ Sở 4,osm-node-9551695378,21.0171361,105.7985636,Nhà hàng,"100, Phố Vũ Phạm Hàm, Cầu Giấy, Hà Nội",0.0,0.0,0.0,0.0,0.0
Bánh Tráng Phú Cường Cơ Sở 1,osm-node-9551699235,21.0160069,105.8099478,Nhà hàng,"42, Phố Nguyên Hồng, Đống Đa, Phường Láng Hạ",0.0,0.0,0.0,0.0,0.0
Bánh tráng Phú Cường cơ sở 2,osm-node-9551703841,21.0195383,105.8423388,Nhà hàng,"104, Phố Yết Kiêu, Hai Bà Trưng, Phường Nguyễn Du",0.0,0.0,0.0,0.0,0.0
Cơm Ông Bình,osm-node-9800789973,21.0675911,105.7620797,Nhà hàng,"Bắc Từ Liêm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Ưu Đàm Chay,osm-node-9945276817,21.0187719,105.84814,Nhà hàng,"55, Phố Nguyễn Du, Hai Bà Trưng, Hà Nội",0.0,0.0,1.0,0.0,0.0
Nét Huế,osm-node-10002371867,21.0502542,105.8933138,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Old Hanoi Restaurant,osm-node-10044381092,21.0299337,105.842667,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Lẩu&Nướng Ăndeee - 188 Phó Đức Chính,osm-node-10158964415,21.0442652,105.8460809,Nhà hàng,"188, Phố Phó Đức Chính, Phường Ba Đình, Hà Nội",0.0,1.0,0.0,0.0,0.0
The East,osm-node-10179892274,21.0297293,105.8441279,Nhà hàng,"Phố Tống Duy Tân, Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
bún đậu 34,osm-node-10213648463,21.0799412,105.7726806,Nhà hàng,"Phố Văn Hội, Bắc Từ Liêm",0.0,0.0,0.0,0.0,0.0
